"","consent1","consent2","consent3","freediscount","paydiscount","fakeemail","likely1","likely2","likely3","likely4","annoyed1","annoyed2","annoyed3","annoyed4","control","reasonable1","reasonable2","reasonable3","reasonable4","reasonable5","reasonable6","reasonable7","reasonable8","reasonable9","comfortable1","comfortable2","comfortable3","comfortable4","comfortable5","comfortable6","comfortable7","comfortable8","comfortable9","ac","comfortable10","gender","age","comments","Condition","annoyed","likely","likelyy","annoyedsum","likelysum","likelysumm","discount","female","female2","discount2"
"334","Yes","Yes","Yes",50,0,5,7,7,7,5,3,5,7,7,3,4,4,5,4,1,3,1,1,1,4,7,7,4,1,6,1,1,5,"Somewhat flexible",0,"Male",42,"","1",5.5,6.5,6.5,22,26,26,50,0,0,50
"335","Yes","Yes","Yes",0,30,2,7,6,7,6,2,2,5,5,1,5,3,5,3,1,3,1,1,7,5,2,5,2,1,3,1,1,7,"Somewhat flexible",5,"Male",54,"","2",3.5,6.5,6.5,14,26,26,30,0,0,30
"336","Yes","Yes","Yes",0,0,5,7,6,6,6,2,1,6,2,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,6,7,"Somewhat flexible",6,"Male",29,"","1",2.75,6.25,6.25,11,25,25,0,0,0,NA
"337","Yes","Yes","Yes",0,5,6,4,5,6,5,5,6,6,5,5,5,5,5,6,5,4,6,6,5,6,6,5,5,4,4,4,5,6,"Somewhat flexible",5,"Male",35,"","2",5.5,5,5,22,20,20,5,0,0,5
"338","Yes","Yes","Yes",65,0,6,7,6,7,6,5,6,7,6,7,5,5,6,7,7,6,7,6,7,5,7,5,6,6,7,6,6,7,"Somewhat flexible",6,"Male",30,"","1",6,6.5,6.5,24,26,26,65,0,0,65
"339","Yes","Yes","Yes",500,0,1,6,7,7,6,6,5,7,7,6,7,6,7,7,6,6,6,6,6,7,6,6,7,6,6,6,6,7,"Somewhat flexible",6,"Female",28,"","1",6.25,6.5,6.5,25,26,26,500,1,1,500
"340","Yes","Yes","Yes",0,5,6,6,6,5,5,6,6,5,5,6,6,5,6,5,6,5,6,5,6,5,6,5,6,6,5,5,6,6,"Somewhat flexible",6,"Female",47,"","2",5.5,5.5,5.5,22,22,22,5,1,1,5
"341","Yes","Yes","Yes",200,0,5,5,5,5,4,6,5,4,5,5,5,6,1,1,1,1,2,5,5,6,6,1,1,1,2,1,6,6,"Somewhat flexible",5,"Female",23,"","1",5,4.75,4.75,20,19,19,200,1,1,200
"342","Yes","Yes","Yes",0,5,5,5,5,5,5,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,2,2,5,4,4,6,5,"Somewhat flexible",5,"Female",30,"","2",5.25,5,5,21,20,20,5,1,1,5
"343","Yes","Yes","Yes",100,0,3,7,6,6,6,7,7,7,7,4,6,4,6,4,1,1,1,1,4,6,6,1,1,1,1,1,1,6,"Somewhat flexible",3,"Female",65,"","1",7,6.25,6.25,28,25,25,100,1,1,100
